sample,function,source,Time,TimeÂ .1,Token number,tape number,clause I,clause f,clause m,Label,cluster,cluster_color,is_real
"And one thing we will learn from it I think, if we're honest with ourselves, and we put, and try and save up and have a piece on the end there, but the one thing I think we will perhaps come to, and the one conclusion we may come to, is the fact that whilst we, we do live in this world and I absolutely agree that if somebody says, look I need to see a new  as well, I need to see you now, or I need to see you tomorrow, that'll be difficult, OK, and that's the immediacy of the business",DM,BNCJP2,,,14.0,123102.0,0.0,0.0,1.0,,1,tab10_color_1,True
"And the same thing, that if a major client like the Health and Safety Executive said to me, Ricky we're running a regional training week in the last week of November, and we want you for three days, you know, I, I don't say to them well look you know, well two of those days are catch up days, I can't possibly do it, why don't you move your whole regional training week to next week?",DM,BNCK6F,,,151.0,99901.0,0.0,0.0,1.0,,1,tab10_color_1,True
"Erm,  [tape jumps] was, or so his critics said, that er his theory just would not work and the kind of argument that they produced against him, and poor old Darwin really didn't have an answer to this, and i it seemed a very very severe problem at the time was look, supposing that er I'm a mutant  [tape jumps] you might think.",DM,BNCHUL,,,646.0,102204.0,0.0,0.0,1.0,,1,tab10_color_1,True
"Now I'm minded at the moment to say, look, why should we pay a hundred pounds and pay all the, all the, all the refurbishment of that site, because they won't be able to develop it, there's no, there's no access to that land.",DM,BNCH49,,,977.0,90501.0,0.0,0.0,1.0,,1,tab10_color_1,True
"Of course you w of course you would Of course you would and it may be that what you will have to say is, Well look, erm I gave you the four per cent on the on the precision types and that that really has to stay, but by the time we by the time we've done all the analysis on the er on the popular metrics, it will work out that it is is is only two per cent.",DM,BNCJT5,,,531.0,124101.0,0.0,0.0,1.0,,1,tab10_color_1,True
"Oh well I'll keep the insurance company  er I w er we will send them a little note in that case, saying look, you know, this is the case, it appears to be an innocent lesion she's just been finely checked over on the eighth of October, do you feel you can now proceed?",DM,BNCG5Y,,,14.0,98912.0,1.0,0.0,0.0,,1,tab10_color_1,True
"Some people, Oh these  visitors and people used to say to me, Well now look, I said like that, visitors, I said like that, there's enough stuff for everybody.",DM,BNCHF3,,,558.0,104401.0,1.0,0.0,0.0,,1,tab10_color_1,True
"there is no better way, but er the problem with that is that, you know okay, you might get, you might get some peasants who say well we're really grateful, we'll go off and fight but some of them might just say no look, we've got some land I'm not gonna leave it,",DM,BNCJJH,,,922.0,113001.0,1.0,0.0,0.0,,1,tab10_color_1,True
"You know, if not, you know, if you're very, very poor in a, in a rural area, you may think, well look, there's, there's this chance, no matter how, how slim of me getting a, sort of proper job in the urban area, thus you may well take that chance.",DM,BNCHYN,,,170.0,108601.0,1.0,0.0,0.0,,1,tab10_color_1,True
"you might've er  I mean you did it right, it could've been a bit stronger though, a bit more  punch to it, er punch isn't the right word erm, you know, well okay look what I'm really asking for Dave is your help, you know,  when people ask you to help what would you normally do, you'd help wouldn't you?",DM,BNCJT5,,,130.0,124101.0,1.0,0.0,0.0,,1,tab10_color_1,True
"you see and ther I su I suppose there was about ten or a dozen girls behind the counter because it was early and late turn for them because you see we were open, you see, until ten o'clock at night, you see, and er then, well, anyway, after that erm I heard about this job going as Assistant Manageress at Cambridge  and er so I applied and the Manager said to me, I thought well I'll be here ten years, erm I can be here until I'm  you know, donkeys years and er so he said well look you may not get a job because he said that another girl coming from Norwich to go to",DM,BNCHDJ,,,248.0,93401.0,1.0,0.0,0.0,,1,tab10_color_1,True
