sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster
"A group of friends went on a road trip across Europe. This is an adventure we will never forget, look! We're experiencing so many different cultures and lands. They visited museums, churches, and historic sites, feeling grateful for the opportunity to learn about history and broaden their horizons.",INTJ,,,,,,,,,L,0
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they cheered in triumph, feeling proud of what they had accomplished together.",INTJ,,,,,,,,,L,1
A child had just taken its first steps on its own. Look at that! He's walking all by himself now. The parents clapped and cheered as the little one took more steps.,INTJ,,,,,,,,,L,-1
"A group of friends went on a road trip across the country. This is going to be an unforgettable adventure, look! We're exploring new sights and making memories together. They visited landmarks, natural wonders, and famous cities, feeling grateful for the opportunity to experience so much together.",INTJ,,,,,,,,,L,0
"A group of friends went on a camping trip in the desert. This is an adventure like no other, look! We're surrounded by beautiful sand dunes and endless skies. They spent their days exploring the desert, climbing dunes, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0
"A young woman won a scholarship to study at a prestigious university. This is an opportunity I never thought I would have, look! I can't wait to see where my education takes me. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling grateful for the chance to learn from some of the best in the field. 123. The artist completed her latest painting and shared it with the world. I'm so happy with how this turned out, look! I can't wait to see what others think of my work. The painting was well-received by both critics and art lovers alike, bringing even more recognition to the artist. 124. A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by beautiful landscapes and fresh air. They spent their days exploring trails, climbing peaks, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and advanced to the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and energized.",INTJ,,,,,,,,,L,1
"A young woman won a scholarship to study abroad in another country. This is an opportunity of a lifetime, look! I can't wait to learn about new cultures and make lifelong friendships. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited and nervous for what was to come.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and secured a spot in the world finals. We can't believe we made it this far, look! We're ready to take on the best teams in the world. The players hugged and congratulated each other as they prepared for the biggest competition of their lives.",INTJ,,,,,,,,,L,1
"The artist completed her latest painting and entered it in a competition. I hope this painting will make an impact, look! I'm proud of my work and believe that it has the potential to win. The painting was well-received by both judges and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and determined.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage. The players hugged and congratulated each other as they prepared for their biggest competition yet. 142. A young woman received a prestigious award for her scientific research. This is an amazing achievement, look! I'm proud to have made a contribution to science. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1
"A group of friends went on a camping trip in the rainforest. This is an adventure like no other, look! We're surrounded by lush vegetation and diverse wildlife. They spent their days exploring trails, spotting animals, and enjoying each other’s company, feeling grateful for the chance to escape.",INTJ,,,,,,,,,L,0
"A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by breathtaking scenery and fresh air. They spent their days exploring trails, climbing peaks, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage. The players hugged and congratulated each other as they prepared for their biggest competition yet. 166. A young woman received recognition for her contributions to environmental conservation efforts. This means so much to me, look! I feel proud to have made a difference in preserving our planet for future generations. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1
"The artist completed a series of paintings and held an exhibition at a museum. I'm so proud of this body of work, look! I can't wait to share it with the world. The exhibition was well-attended and well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and celebrated their victory with their families. This is an amazing moment, look! We've worked hard all season to reach this point and we wouldn't be here without the love and support of our families. The players hugged and congratulated each other as they shared their success with their loved ones, feeling grateful for their unwavering support.",INTJ,,,,,,,,,L,1
"The artist completed a series of paintings and shared them with the world. I'm so proud of this body of work, look! I hope it resonates with people on an emotional level and sparks conversations about important issues. The paintings were well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"A young woman received recognition for her contributions to environmental conservation efforts. This is a significant achievement, look! I'm proud to have made a difference in preserving the natural world for future generations. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1
"A new student walked into the class for the first time. Here comes the new kid, look. Let's make him feel welcome. The other students greeted him warmly as he took his seat.",INTJ,,,,,,,,,L,-1
"A team of researchers made a groundbreaking discovery in the field of physics. This is an incredible achievement, look! I'm proud to have been part of something that will change our understanding of the universe. The scientists presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a public sculpture celebrating resilience. This is an amazing project, look! I'm proud to have been part of something that brings hope and inspiration to our community. The sculpture received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,,,,,,,,,L,1
"A team of researchers made a groundbreaking discovery in the field of technology. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to revolutionize our world. The scientists presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A team of scientists made a groundbreaking discovery in the field of astrophysics. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to change our understanding of the cosmos. The researchers presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a public art exhibit that explores themes of identity. This is an amazing project, look! I'm proud to have been part of something that showcases the diversity and complexity of human experiences. The exhibit received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,,,,,,,,,L,1
"A team of scientists made a groundbreaking discovery in the field of computer science. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to transform our understanding of artificial intelligence and digital systems. The researchers published their findings in a leading scientific journal, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A young girl won a prestigious award for her scientific research. This is amazing, look! I can't believe I won such a big prize. Her parents hugged and congratulated her as she held up the trophy.",INTJ,,,,,,,,,L,1
"A young boy showed his mother a drawing he made at school. Look at this, mom! I'm so proud of what I made. His mother looked at the drawing with tears in her eyes and hugged him tightly.",INTJ,,,,,,,,,L,-1
"The group of friends went on a camping trip in the woods. Wow, this is beautiful, look! It feels like we're in another world. They set up camp and spent the night telling ghost stories and roasting marshmallows over a fire.",INTJ,,,,,,,,,L,0
"A young woman received an unexpected promotion at work. Wow, I can’t believe it, look! I’m officially a manager now. Her coworkers cheered and congratulated her as she accepted the new title.",INTJ,,,,,,,,,L,-1
"The singer gave a passionate performance at a music festival. This is incredible, look! You really know how to move an audience. The crowd cheered and sang along as she closed the show with her hit song.",INTJ,,,,,,,,,L,-1
"A young woman discovered a beautiful waterfall on a hike in the mountains. This is unbelievable, look! I feel like I'm in paradise. She sat by the waterfall, listening to the calming sounds of the rushing water.",INTJ,,,,,,,,,L,-1
"A group of students started a campaign to raise money for charity. Look at what we’ve accomplished, look! It's amazing how much impact we've made in just a short amount of time. They stood in front of the community center where they had collected donations, feeling proud of their efforts.",INTJ,,,,,,,,,L,-1
"The team won a championship tournament, securing their spot in the world finals. We did it, look! We are going to represent our country on the world stage. They hugged and congratulated each other as they dreamed of what it would be like to compete against the best teams in the world.",INTJ,,,,,,,,,L,1
"The team played their final game of the season and won, securing their spot in the playoffs. We did it, look! We worked hard all season for this moment. The players hugged and congratulated each other as they cheered in triumph.",INTJ,,,,,,,,,L,1
"A young boy was chosen as the mascot for his school’s sports team. I can't believe I get to represent my school, look! This is so exciting. He wore his costume with pride, knowing that he would make people smile every time he appeared at a game.",INTJ,,,,,,,,,L,-1
"A young woman received a full scholarship to study abroad in another country. This is life-changing, look! I can't wait to see what I will learn and experience. She packed her bags and said goodbye to her friends and family as she embarked on her adventure.",INTJ,,,,,,,,,L,1
"The detective entered the crime scene with a grim expression. What on earth could have caused this? Look, there's a strange symbol here. Everyone's eyes followed him as he studied the markings closely.",INTJ,,,,,,,,,L,-1
"A group of artists came together to create a mural in their community. This is going to be something special, look! We're creating something that will be here for years to come. They worked tirelessly for weeks, painting every detail with passion and skill.",INTJ,,,,,,,,,L,-1
"A group of students started a campaign to raise money for charity. We can make such a difference, look! We just need to spread the word and get people involved. They organized events and fundraisers, feeling proud of the impact they were making in their community.",INTJ,,,,,,,,,L,-1
"In the bustling market, a vendor displayed a unique painting. Look! The colors are vibrant and the details are stunning. Customers stopped to marvel at the artwork.",INTJ,,,,,,,,,L,-1
The boy opened the present nervously.Look! It's a brand new bicycle!He leapt off his seat in joy and rode around the room.,INTJ,,,,,,,,,L,-1
"The team was preparing for a critical presentation. This is our big chance, look. Let’s make it count. They took a deep breath and started rehearsing one last time.",INTJ,,,,,,,,,L,-1
The weather reporter watched as a severe storm approached.Look out! This looks like it's going to be a major one.People were told to evacuate and seek shelter immediately.,INTJ,,,,,,,,,L,-1
"The team won their division championship and advanced to the playoffs. We're one step closer to the finals, look! We're determined to win it all. The players celebrated together, knowing that they had worked hard for this moment and would continue to fight until the end.",INTJ,,,,,,,,,L,1
"The team won a championship tournament, securing their spot in the world finals. This is incredible, look! We're representing our country on the world stage. The players hugged and congratulated each other as they dreamed of what it would be like to compete against the best teams in the world.",INTJ,,,,,,,,,L,1
"A young woman won a prestigious award for her work in business. This is unbelievable, look! I never thought my hard work would lead to this. She accepted the award with grace and gratitude, feeling proud of what she had accomplished.",INTJ,,,,,,,,,L,1
"The artist completed her latest painting and shared it with the world. I'm so happy with how it turned out, look! I can't wait to see what others think of my work. The painting was well-received by critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The team won the league championship and celebrated their victory on the field. We did it, look! We worked so hard for this moment, and it feels amazing to be champions. The players hugged and cheered as they lifted the trophy high into the air, feeling proud of what they had achieved together.",INTJ,,,,,,,,,L,1
"A young woman won a scholarship to study at a prestigious university. This is an opportunity of a lifetime, look! I can't wait to see where my education takes me. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited and nervous for what was to come.",INTJ,,,,,,,,,L,1
"The artist completed her latest sculpture and exhibited it at a gallery. This is an honor, look! I'm so grateful to have my work displayed alongside some of the greatest artists in history. The exhibition was well-attended and well-received by both critics and the general public, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"A group of friends went on a camping trip in the mountains. This is so peaceful and rejuvenating, look! We're disconnecting from our busy lives and connecting with nature. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0
"The chef opened the oven and found that his soufflé had fallen.Oh no, look at this!He slammed the door shut and started swearing under his breath.",INTJ,,,,,,,,,L,-1
"A young woman won a scholarship to study abroad in another country. This is going to be an incredible experience, look! I can't wait to learn about new cultures and make lifelong friendships. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited and nervous for what was to come.",INTJ,,,,,,,,,L,1
"The artist completed her latest painting and entered it in a competition. I hope this painting will make an impact, look! I'm proud of my work and believe that it has the potential to win. The painting was well-received by both judges and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to take on the best teams in the world. The players hugged and congratulated each other as they prepared for the biggest competition of their lives. 114. A young woman won a prestigious award for her work in medicine. This is a dream come true, look! I'm so proud to have my dedication to helping others recognized. She accepted the award with gratitude and grace, feeling humbled by the honor.",INTJ,,,,,,,,,L,1
"The artist completed her latest sculpture and displayed it at a museum. I can't believe my work is on display in such a prestigious institution, look! I'm honored to be recognized. The sculpture was well-received by both critics and the general public, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and secured a spot in the playoffs. We worked so hard for this moment, look! We're determined to make it count. The players hugged and congratulated each other as they prepared for their next game, feeling focused and energized. 118. A young woman won a scholarship to study at a prestigious university abroad. This is going to be an amazing opportunity, look! I'm so excited to see where my education takes me. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling grateful for the chance to learn from some of the best in the field. 119. The artist completed her latest painting and shared it with the world. I'm so proud of this piece, look! I can't wait to see what others think of my work. The painting was well-received by critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"A firefighter entered the burning building. It’s dangerous, look. But someone has to do it. His team watched him enter with a mix of admiration and worry.",INTJ,,,,,,,,,L,-1
"The archaeologist found a mysterious object deep in the ground.Look here, this is unlike anything we've ever seen before.Scientists are still debating its origins and purpose today.",INTJ,,,,,,,,,L,-1
"A group of friends went on a road trip across Europe. This is going to be an adventure we will never forget, look! We're experiencing so many different cultures and lands. They visited museums, churches, and historic sites, feeling grateful for the opportunity to learn about history and broaden their horizons.",INTJ,,,,,,,,,L,0
"The team won the league championship and celebrated their victory on the field. We did it, look! We worked so hard for this moment, and it feels amazing to be champions. The players hugged and cheered as they lifted the trophy high into the air, feeling proud of what they had achieved together.",INTJ,,,,,,,,,L,1
"The artist completed her latest sculpture and displayed it at a gallery. I can't believe my work is being exhibited in such a prestigious institution, look! I'm honored to be recognized. The exhibition was well-attended and well-received by both critics and the general public, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"A group of friends went on a road trip across Europe. This is an adventure we will never forget, look! We're experiencing so many different cultures and sights. They visited famous landmarks, tried delicious food, and enjoyed each other’s company, feeling grateful for the opportunity to travel together.",INTJ,,,,,,,,,L,0
"The concert was about to begin, but no artist could be found. Where is she? Look, they're saying she's delayed. The crowd grew restless as the start time came and went.",INTJ,,,,,,,,,L,-1
"The hiker climbed to the top of the mountain peak.Look, can you see that stunning view?She took a deep breath, feeling invigorated by the scenery.",INTJ,,,,,,,,,L,-1
"A young woman won a scholarship to study medicine at a prestigious university. This is going to be an amazing opportunity, look! I can't wait to start my journey towards becoming a doctor. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling grateful for the chance to learn from some of the best in the field.",INTJ,,,,,,,,,L,1
"A group of friends went on a camping trip in the desert. This is an adventure like no other, look! We're surrounded by beautiful sand dunes and endless skies. They spent their days exploring the desert, climbing dunes, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0
"The team won the league championship and celebrated their victory in style. This is an amazing moment, look! We've worked hard all season to reach this point. The players enjoyed a night of revelry and celebration, savoring the sweet taste of victory.",INTJ,,,,,,,,,L,1
"A young woman received a prestigious award for her contributions to the community. This is so meaningful, look! I feel proud to have made a difference in people's lives. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1
"The artist completed her latest sculpture and shared it with the world. I can't believe how beautiful this piece is, look! I think it might be my best work yet. The sculpture was well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"A group of friends went on a camping trip in the wilderness. This is a chance to disconnect from daily life and reconnect with nature, look! We're taking advantage of it. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the opportunity to escape.",INTJ,,,,,,,,,L,0
"A young woman won a scholarship to study at a prestigious university in another country. This is an incredible opportunity, look! I can't wait to broaden my horizons and gain new perspectives. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited for what was to come.",INTJ,,,,,,,,,L,1
"The artist completed a series of paintings and held an exhibition at a gallery. I'm so proud of this body of work, look! I can't wait to share it with the world. The exhibition was well-attended and well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The group hiked for hours without finding water. We’re out of luck, look. I can feel my throat getting dry. They all sighed in frustration, hoping they wouldn't get lost.",INTJ,,,,,,,,,L,-1
"The student looked at his blank exam paper in disbelief.What do I write first? Look, I've prepared so little for this.He began to frantically scribble answers on his sheet.",INTJ,,,,,,,,,L,-1
"A group of friends went on a road trip across America. This is an adventure of a lifetime, look! We're seeing so many iconic sights and landscapes. They visited famous landmarks, sampled regional cuisine, and enjoyed each other’s company, feeling grateful for the chance to travel together.",INTJ,,,,,,,,,L,0
"The artist completed a series of sculptures and held an exhibition at a museum. I can't believe my work is being exhibited in such a prestigious institution, look! I'm honored to be recognized. The exhibition was well-attended and well-received by both critics and the general public, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and celebrated their victory in grand style. This is an amazing moment, look! We've worked hard all season to reach this point. The players enjoyed a night of revelry and celebration, savoring the sweet taste of victory.",INTJ,,,,,,,,,L,1
"A young woman received recognition for her contributions to humanitarian efforts. This means so much to me, look! I feel proud to have made a difference in people's lives. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1
"The artist completed a series of paintings and held an exhibition at a gallery. I'm so proud of this body of work, look! I can't wait to share it with the world. The exhibition was well-attended and well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"A group of friends went on a camping trip in a remote area of the wilderness. This is an adventure like no other, look! We're taking a break from daily life and connecting with nature. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the chance to escape.",INTJ,,,,,,,,,L,0
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and determined.",INTJ,,,,,,,,,L,1
